site_id,err_p50_m,err_p95_m,n_fix,duration,used_sat_mean,cn0_mean,cn0_std,elev_mean,used_rate,hdop_cut_a_median,hdop_cut_b_median
O06,1.8897680280876021,10.423189317893723,710,330.169,29.949820788530467,38.509057992939994,4.05591739151475,54.575491679273824,0.6388530927835051,0.4667894858645026,0.4667894858645026
O15,1.8631366275128753,25.87230055123026,722,331.629,22.976430976430976,37.45596407021394,5.955200209514198,60.079402084476136,0.4587317564167086,0.50709023250153,0.50709023250153
O13,2.5760011275864496,17.813427412759502,719,330.484,19.873817034700316,36.04389185072353,5.8783024851679695,49.225590251332825,0.444632577040298,0.422760116961879,0.422760116961879
S09,5.364902739249031,11.556594552309669,711,329.87,24.841379310344827,35.836514894647614,5.5483868026867205,57.571082586582705,0.5304130001926906,0.4516736097074535,0.4516736097074535
A10,2.616005621152036,21.955880428871442,716,328.68,20.537459283387623,35.343400267737614,5.814467723766547,58.16510486390005,0.45573481561822127,0.47109260845467554,0.47109260845467554
S04,3.3087853527619515,16.232739374324108,725,330.835,24.993355481727576,36.361157066734336,6.052179487138828,53.83303730017762,0.556010158013544,0.46110286248083593,0.46110286248083593
A02,11.485796519258777,23.77354761854004,721,328.933,10.292207792207792,28.4424365942029,4.040357449875937,52.86171497584541,0.27169811320754716,0.573121812429205,0.573121812429205
A06,14.847385751365053,57.271023859946276,713,327.308,13.641732283464567,30.200339761248852,4.613734965545483,47.092056932966024,0.32960048426150124,0.45871969661753914,0.45871969661753914
O03,5.575418257350487,26.02097866777374,723,330.474,21.11912225705329,37.18510344827586,6.665643975856047,54.0980190755686,0.47016212487064507,0.4534623759433419,0.4534623759433419
S01,0.7620072135550223,14.200544148809803,720,329.791,25.179054054054053,39.82667122096633,5.633733913867746,60.5193143708856,0.5509477862177513,0.5298167633304374,0.5298167633304374
S14,0.7224744083183878,4.234314773950617,720,331.264,26.423076923076923,39.38623060121853,5.204327575371714,54.118634325784576,0.567227438706312,0.4583516382188726,0.4583516382188726
A08,1.9357441985275883,7.701256594439732,722,330.407,24.16271186440678,35.441122344509864,6.461616277454601,56.81750703864858,0.5377098816405175,0.4460715229525981,0.4460715229525981
S06,1.770744541325942,9.84775073212023,722,330.738,25.09493670886076,36.508540345642174,6.397579603090015,53.33258734303121,0.5208859529823198,0.43577112962579034,0.43577112962579034
A07,0.7279961305055818,23.778490567705823,723,331.53,24.01644736842105,37.3161494021228,5.904433316797704,55.45532715302969,0.4973937449879711,0.4732297351485383,0.4732297351485383
O05,0.5575856205815838,11.048537373433495,707,331.568,21.64026402640264,37.892558758314856,5.045033801349145,56.72165558019216,0.4722513089005236,0.5020436001886874,0.5020436001886874
S02,1.5082939052444275,12.526710592021864,718,329.047,21.718032786885246,36.94860788205274,6.1311535919653055,50.87411397788489,0.47291499061410563,0.44874784011899393,0.44874784011899393
A15,1.4412316287393492,6.926746604995068,716,330.404,12.532203389830508,36.692059980334314,7.9094028559422,63.88446411012783,0.4038518812667527,0.6178424519272824,0.6238467454273449
O09,2.471977645953623,5.769654810882372,717,331.724,26.513931888544892,38.5812984744381,5.423671213903526,50.797018749272155,0.5668360947917355,0.46107888115790435,0.46107888115790435
O10,5.7624930045440195,11.148635767439606,698,329.329,25.867109634551493,37.72083283900818,5.781570861140258,56.03974374184364,0.565552871712292,0.4551798606179251,0.4551798606179251
O04,2.258759890789589,13.167641080762083,718,329.418,22.601307189542485,39.22828234975637,5.401613851955173,56.21778559826746,0.4971401655339479,0.46356472222008044,0.47673888459872193
A14,3.3013251412358233,41.66913233672594,722,329.911,18.324921135646687,36.0813303919905,6.94354021675091,57.19175292720176,0.421832498210451,0.5537547294130926,0.5537547294130926
A13,3.2207593294988444,23.615313425049123,719,329.722,18.281645569620252,39.2420740117746,5.980129056090325,54.84793944491169,0.46063846273051295,0.5024950673327708,0.5024950673327708
